Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
488,Justise Winslow\winslju01,SF,24,MEM,8,0,22.3,3.9,10.4,.373,0.4,2.4,.158,3.5,8.0,.438,.392,0.9,1.5,.583,0.9,4.8,5.6,2.3,0.4,0.8,1.5,2.8,9.0
489,Cassius Winston\winstca01,PG,22,WAS,7,0,7.1,0.7,1.6,.455,0.6,1.1,.500,0.1,0.4,.333,.636,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.1,0.1,0.6,2.3
490,James Wiseman\wisemja01,C,19,GSW,27,17,20.5,4.9,9.4,.520,0.4,1.0,.393,4.5,8.4,.535,.541,1.7,2.7,.616,1.4,4.6,6.0,0.6,0.3,1.0,1.5,3.1,11.9
491,Christian Wood\woodch01,C,25,HOU,17,17,31.2,8.8,15.7,.558,1.9,4.5,.421,6.9,11.2,.613,.618,2.6,3.8,.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22.0
492,Robert Woodard\woodaro01,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
493,Delon Wright\wrighde01,SG,28,DET,31,26,29.1,3.8,8.0,.470,1.0,2.5,.392,2.8,5.5,.506,.532,2.0,2.6,.778,1.1,3.5,4.5,4.8,1.4,0.5,1.2,1.2,10.6
494,Thaddeus Young\youngth01,PF,32,CHI,32,0,25.1,5.6,9.3,.605,0.2,0.7,.227,5.4,8.6,.635,.613,0.8,1.5,.531,2.5,3.6,6.1,4.3,1.3,0.6,1.9,2.6,12.2
495,Trae Young\youngtr01,PG,22,ATL,36,36,34.7,7.8,18.1,.433,2.6,6.7,.380,5.3,11.4,.465,.504,8.5,9.8,.872,0.7,3.4,4.1,9.3,0.9,0.3,4.4,2.1,26.7
496,Cody Zeller\zelleco01,C,28,CHO,20,17,23.5,4.1,7.9,.522,0.2,1.0,.158,4.0,6.9,.572,.532,1.6,2.1,.780,2.6,5.0,7.5,2.3,0.7,0.6,1.1,2.5,10.0
497,Ivica Zubac\zubaciv01,C,23,LAC,39,1,19.7,3.1,4.7,.659,0.0,0.0,.000,3.1,4.7,.663,.659,1.9,2.4,.826,2.4,4.5,6.9,1.1,0.4,0.8,1.0,2.5,8.2
